index,Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference,full_address,lat,lng
15631,1305222,NEW YORK,L,222,903637,VINFAMILY INC,VINVERO WINE & SPIRITS,393 GRAND ST,,NEW YORK,NY,10002,12/10/2018,11/30/2021,LIQUOR STORE SELLING LIQUOR AND WINE,,,POINT(-73.987385 40.715648),"393 GRAND ST, NEW YORK, NY 10002",40.715648,-73.987385
15643,1290887,NEW YORK,HL,242,914486,INNSIDE VENTURES LLC & 132 W27TH ST LLC ,AS CO-LICENSEE/ DBA: INNSIDE NEW YORK NOMAD,132 142 W 27TH ST,,NEW YORK,NY,10001,01/23/2020,02/28/2022,"HOTEL SERVING BEER, WINE, CIDER AND LIQUOR.","CB5 STIP: PREMISE INCLUDES THE HOTEL, RESTAURANT, PATIO AND TERRACE.",RECORDED MUSIC INCLUDING DJ. NO DANCING.,POINT(-73.99268 40.745878),"132 142 W 27TH ST, NEW YORK, NY 10001",40.745878,-73.99268
15649,1319998,NEW YORK,RW,341,831093,JFD SUSHI RESTAURANT INC,TENZAN 89 JAPANESE CUISINE,1714 2ND AVE,,NEW YORK,NY,10128,02/26/2020,01/31/2022,"RESTAURANT SERVING WINE, BEER AND CIDER     ",,"Recorded music, no dancing",POINT(-73.950124 40.779584),"1714 2ND AVE, NEW YORK, NY 10128",40.779584,-73.950124
15650,1303606,NEW YORK,TW,344,920184,GVI TRIBECA LLC,VIN SUR VINGT,66 WEST BROADWAY,STORE 7,NEW YORK,NY,10007,07/30/2019,08/31/2021,"BAR/TAVERN SERVING BEER, WINE AND CIDER","CB Stip: Hours M-Th 3pm-1am, F-Sa 3pm-2am, Su 11am-1am",Reccorded music,POINT(-74.010124 40.714686),"66 WEST BROADWAY, NEW YORK, NY 10007",40.714686,-74.010124
15651,1256945,NEW YORK,RW,341,840847,160 MAGURO SUSHI INC,,160 E 28TH ST #2,,NEW YORK,NY,10016,08/26/2019,09/30/2021,"RESTAURANT SERVING BEER, CIDER AND WINE",,Recorded Music,POINT(-73.951125 40.645417),"160 E 28TH ST #2, NEW YORK, NY 10016",40.645417,-73.951125
15652,1187161,NEW YORK,OP,252,906740,B FLAT INC,,277 CHURCH STREET,WHITE & FRANKLIN,NEW YORK,NY,100133486,06/05/2019,07/31/2021,RESTAURANT SERVING BEER CIDERWINE AND LIQUOR ,,,POINT(-74.004773 40.718537),"277 CHURCH STREET, NEW YORK, NY 100133486",40.718537,-74.004773
15654,1166323,NEW YORK,OP,252,911674,METROPOLITAN TALENT PRESENTS LLC,,2 W 64TH STREET,CENTRAL PK WEST & COLUMBUS AVE,NEW YORK,NY,10023,10/08/2019,09/30/2021,TAVERN SERVING BEER CIDER WINE  AND LIQUOR,,,POINT(-73.980186 40.770834),"2 W 64TH STREET, NEW YORK, NY 10023",40.770834,-73.980186
15660,1270013,NEW YORK,OP,252,911237,265 LAFAYETTE RISTORANTE LLC,SANT AMBROEUS,265 LAFAYETTE ST,,NEW YORK,NY,10012,09/24/2019,09/30/2021,RESTAURANT SERVING BEER CIDER WINE & LIQUOR,9:00AM to 11:00PM 7 Days/Week,Includes Sidewalk Cafe,POINT(-73.996398 40.723351),"265 LAFAYETTE ST, NEW YORK, NY 10012",40.723351,-73.996398
15664,1321937,NEW YORK,RW,341,798479,NEW ISTANBUL GRILL INC,NEW ISTANBUL GRILL ,310 W 14TH ST,STORE 2 & 3,NEW YORK,NY,10014,01/24/2020,12/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,CB Stip: Alcohol sales end at 1:00AM Sun - Thurs;,and 2:00AM Fri - Sat,POINT(-74.003179 40.73982),"310 W 14TH ST, NEW YORK, NY 10014",40.73982,-74.003179
15669,1023327,NEW YORK,HL,242,907823,FITZPATRICK MGT NORTH AMERICA LLC,& HOTEL GRAND CENTRAL LLC,141 EAST 44TH STREET,,NEW YORK,NY,10017,07/15/2019,07/31/2021,HOTEL SERVING BEER CIDER WINE & LIQUOR,,,POINT(-73.974456 40.752698),"141 EAST 44TH STREET, NEW YORK, NY 10017",40.752698,-73.974456
15671,1143611,NEW YORK,OP,252,910780,"JEC II LLC, BAGATELLE LITTLE WEST 12TH LLC, ",BAGATELLE AMERICA LLC DBA: BAGATELLE,2 8 9TH AVE ,AKA 1 LITTLE W 12 ST,NEW YORK,NY,10014,01/23/2020,10/31/2021,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,11am-2am M-Su Interior 11am-12am M-Su Patio,Adding Management & Security Personnel,POINT(nan nan),"2 8 9TH AVE , NEW YORK, NY 10014",,
15673,1198698,NEW YORK,OP,252,908198,245 WEST 14TH STREET TAVERN CORP,MCKENNA'S,250 W 14TH ST,7TH & 8TH AVE,NEW YORK,NY,10011,07/25/2019,07/31/2021,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,,POINT(-74.002165 40.739317),"250 W 14TH ST, NEW YORK, NY 10011",40.739317,-74.002165
15679,1317731,NEW YORK,OP,252,889368,DEMIDA CORP,DK,207 W 36TH ST,,NEW YORK,NY,10018,09/27/2019,08/31/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",,Recorded Music Permitted; No Dancing; No Sidewalk Cafe,POINT(-73.989856 40.752857),"207 W 36TH ST, NEW YORK, NY 10018",40.752857,-73.989856
